동물종류,나이그룹,성별,중성화 여부,시도,총건수,입양건수,평균체중,입양률
개,11세 이상,수컷,중성화 O,경상남도,119,12,5.247881355932203,10.08
개,11세 이상,수컷,중성화 O,경상북도,48,4,4.9799999999999995,8.33
개,11세 이상,수컷,중성화 O,광주광역시,68,8,4.448529411764706,11.76
개,11세 이상,수컷,중성화 O,대구광역시,64,5,5.851875,7.81
개,11세 이상,수컷,중성화 O,대전광역시,4,0,3.75,0.0
개,11세 이상,수컷,중성화 O,부산광역시,69,5,5.039275362318841,7.25
개,11세 이상,수컷,중성화 O,서울특별시,61,4,5.320819672131147,6.56
개,11세 이상,수컷,중성화 O,세종특별자치시,3,1,6.233333333333333,33.33
개,11세 이상,수컷,중성화 O,울산광역시,24,1,4.08875,4.17
개,11세 이상,수컷,중성화 O,인천광역시,142,10,5.14612676056338,7.04
개,11세 이상,수컷,중성화 O,전라남도,33,8,5.406060606060606,24.24
개,11세 이상,수컷,중성화 O,전북특별자치도,26,2,6.686538461538461,7.69
개,11세 이상,수컷,중성화 O,제주특별자치도,21,2,4.985714285714286,9.52
개,11세 이상,수컷,중성화 O,충청남도,40,6,5.202162162162162,15.0
개,11세 이상,수컷,중성화 O,충청북도,44,4,5.952272727272727,9.09
개,11세 이상,수컷,중성화 X,강원특별자치도,124,6,6.293145161290322,4.84
개,11세 이상,수컷,중성화 X,경기도,382,40,7.182565445026177,10.47
개,11세 이상,수컷,중성화 X,경상남도,141,10,7.209929078014184,7.09
개,11세 이상,수컷,중성화 X,경상북도,85,8,8.860941176470588,9.41
개,11세 이상,수컷,중성화 X,광주광역시,51,5,6.4941176470588236,9.8
개,11세 이상,수컷,중성화 X,대구광역시,127,9,6.112125984251969,7.09
개,11세 이상,수컷,중성화 X,대전광역시,7,0,8.857142857142858,0.0
